Year,Region,Country,City,Start_Date,End_Date,Stay_Days,Avg_Rent,Max_Rent,Min_Rent,Days_To_Rent,Area_sqm,Daily_Rent,Rental_Income,Avg_Stay_Days,Max_Stay_Days,Min_Stay_Days
2022,Asia,India,Delhi,2022-08-01,2022-09-01,31,1714,2422,1542,18,110,57.13,53134,30.379266666666666,60,1
2020,Asia,Japan,Beijing,2020-10-26,2020-12-16,51,1662,2156,1486,24,57,55.4,84762,30.379266666666666,60,1
2020,South America,Brazil,Sao Paulo,2020-02-26,2020-03-08,11,1216,1946,865,12,29,40.53,13376,30.379266666666666,60,1
2026,US,USA,New York,2026-02-28,2026-03-11,11,1732,2779,1371,15,30,57.73,19052,30.379266666666666,60,1
2020,Asia,India,Delhi,2020-08-01,2020-08-11,10,964,1855,691,9,72,32.13,9640,30.379266666666666,60,1
2025,US,USA,Rome,2025-08-04,2025-10-03,60,1052,1571,810,10,116,35.07,63120,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-03-12,2022-03-23,11,1382,2460,1153,28,126,46.07,15202,30.379266666666666,60,1
2021,South America,Argentina,Munich,2021-01-17,2021-02-11,25,1305,2068,906,12,32,43.5,32625,30.379266666666666,60,1
2023,US,USA,Tokyo,2023-05-07,2023-06-07,31,849,1808,577,20,50,28.3,26319,30.379266666666666,60,1
2020,South America,Brazil,Paris,2020-11-28,2021-01-13,46,1855,2691,1588,16,86,61.83,85330,30.379266666666666,60,1
2026,China,China,Tokyo,2026-05-16,2026-07-06,51,1116,2288,733,30,115,37.2,56916,30.379266666666666,60,1
2020,Europe,Germany,Tokyo,2020-03-21,2020-05-08,48,1113,1766,785,3,107,37.1,53424,30.379266666666666,60,1
2023,South America,Brazil,Delhi,2023-02-25,2023-03-12,15,1416,1781,1200,7,106,47.2,21240,30.379266666666666,60,1
2020,Asia,India,Sao Paulo,2020-09-27,2020-11-18,52,940,1308,670,13,112,31.33,48880,30.379266666666666,60,1
2025,US,USA,Paris,2025-05-22,2025-07-16,55,1486,2407,1127,17,23,49.53,81730,30.379266666666666,60,1
2020,Europe,Italy,Tokyo,2020-12-13,2021-01-31,49,1502,2009,1192,23,92,50.07,73598,30.379266666666666,60,1
2025,China,China,Beijing,2025-03-12,2025-03-16,4,1831,2907,1504,27,73,61.03,7324,30.379266666666666,60,1
2022,China,China,Tokyo,2022-01-16,2022-02-27,42,1966,2657,1690,21,84,65.53,82572,30.379266666666666,60,1
2023,China,China,New York,2023-10-23,2023-12-14,52,1769,2125,1602,7,107,58.97,91988,30.379266666666666,60,1
2023,Asia,India,Tokyo,2023-11-10,2023-11-16,6,1348,2426,999,9,67,44.93,8088,30.379266666666666,60,1
2020,Asia,India,New York,2020-03-30,2020-04-01,2,1750,2079,1425,1,53,58.33,3500,30.379266666666666,60,1
2025,US,USA,Beijing,2025-12-22,2026-01-21,30,1218,2142,1074,24,123,40.6,36540,30.379266666666666,60,1
2024,South America,Brazil,Tokyo,2024-09-06,2024-10-21,45,949,1864,672,16,57,31.63,42705,30.379266666666666,60,1
2020,US,USA,Munich,2020-04-20,2020-06-18,59,1468,2449,1258,16,113,48.93,86612,30.379266666666666,60,1
2026,China,China,Tokyo,2026-06-15,2026-08-11,57,1573,2214,1240,25,122,52.43,89661,30.379266666666666,60,1
2022,US,USA,Rome,2022-03-30,2022-04-07,8,1206,2348,941,24,36,40.2,9648,30.379266666666666,60,1
2026,Europe,Germany,New York,2026-02-08,2026-03-09,29,1163,2049,1050,24,137,38.77,33727,30.379266666666666,60,1
2020,Europe,France,Munich,2020-08-18,2020-08-25,7,1655,2516,1438,15,50,55.17,11585,30.379266666666666,60,1
2026,South America,Brazil,Sao Paulo,2026-09-18,2026-09-21,3,1020,1908,677,12,54,34.0,3060,30.379266666666666,60,1
2023,Asia,India,Munich,2023-12-26,2024-01-14,19,1576,2226,1397,24,60,52.53,29944,30.379266666666666,60,1
2023,South America,Brazil,Beijing,2023-01-01,2023-01-26,25,1789,2909,1558,27,35,59.63,44725,30.379266666666666,60,1
2024,China,China,New York,2024-09-30,2024-11-23,54,1775,2765,1586,18,81,59.17,95850,30.379266666666666,60,1
2020,US,USA,New York,2020-01-12,2020-01-31,19,1193,1948,851,7,83,39.77,22667,30.379266666666666,60,1
2024,China,China,Delhi,2024-08-13,2024-10-06,54,889,1369,546,30,113,29.63,48006,30.379266666666666,60,1
2025,US,USA,Tokyo,2025-09-21,2025-09-29,8,1898,2244,1591,3,120,63.27,15184,30.379266666666666,60,1
2025,China,China,Munich,2025-10-05,2025-10-07,2,1114,1795,871,1,80,37.13,2228,30.379266666666666,60,1
2026,South America,Brazil,New York,2026-06-01,2026-06-14,13,1362,1732,1235,4,69,45.4,17706,30.379266666666666,60,1
2026,US,USA,New York,2026-05-31,2026-07-15,45,869,1511,633,11,117,28.97,39105,30.379266666666666,60,1
2021,South America,Brazil,Rome,2021-06-09,2021-06-15,6,813,1766,457,19,119,27.1,4878,30.379266666666666,60,1
2026,China,China,Sao Paulo,2026-05-30,2026-06-29,30,1126,1716,865,11,102,37.53,33780,30.379266666666666,60,1
2022,South America,Argentina,New York,2022-04-25,2022-06-06,42,916,1927,597,1,142,30.53,38472,30.379266666666666,60,1
2021,China,China,New York,2021-12-25,2022-01-08,14,1785,2945,1398,11,132,59.5,24990,30.379266666666666,60,1
2022,Europe,France,Paris,2022-01-10,2022-02-08,29,973,1872,625,20,98,32.43,28217,30.379266666666666,60,1
2023,Asia,India,Munich,2023-10-04,2023-11-14,41,1763,2172,1509,15,58,58.77,72283,30.379266666666666,60,1
2024,Europe,Germany,Berlin,2024-02-15,2024-04-05,50,1707,2437,1473,27,90,56.9,85350,30.379266666666666,60,1
2026,China,China,Berlin,2026-06-29,2026-07-02,3,1147,1860,854,19,129,38.23,3441,30.379266666666666,60,1
2021,China,China,Rome,2021-10-01,2021-10-08,7,1663,2430,1377,30,120,55.43,11641,30.379266666666666,60,1
2025,South America,Argentina,Delhi,2025-03-02,2025-04-23,52,1485,1880,1365,29,67,49.5,77220,30.379266666666666,60,1
2025,Asia,Japan,Tokyo,2025-05-14,2025-06-19,36,1897,2348,1677,27,115,63.23,68292,30.379266666666666,60,1
2025,China,China,Delhi,2025-05-18,2025-05-30,12,1758,2625,1531,24,130,58.6,21096,30.379266666666666,60,1
2025,South America,Brazil,Paris,2025-03-16,2025-04-11,26,1734,2144,1528,7,76,57.8,45084,30.379266666666666,60,1
2025,US,USA,Munich,2025-10-04,2025-11-07,34,1682,2694,1372,28,140,56.07,57188,30.379266666666666,60,1
2025,China,China,Beijing,2025-07-29,2025-08-15,17,1016,1394,748,15,104,33.87,17272,30.379266666666666,60,1
2026,Asia,India,Sao Paulo,2026-08-02,2026-09-17,46,993,2092,860,16,124,33.1,45678,30.379266666666666,60,1
2025,Europe,Italy,Rome,2025-07-04,2025-08-19,46,1744,2377,1370,8,25,58.13,80224,30.379266666666666,60,1
2022,China,China,Munich,2022-06-11,2022-08-06,56,1039,1496,754,3,117,34.63,58184,30.379266666666666,60,1
2020,Europe,France,Berlin,2020-03-24,2020-04-15,22,1201,1864,1070,29,81,40.03,26422,30.379266666666666,60,1
2026,China,China,Munich,2026-04-03,2026-04-09,6,1493,2628,1215,19,97,49.77,8958,30.379266666666666,60,1
2024,Europe,Germany,Munich,2024-08-23,2024-10-03,41,1122,1904,887,7,46,37.4,46002,30.379266666666666,60,1
2023,China,China,Munich,2023-07-12,2023-07-24,12,1091,1856,783,15,99,36.37,13092,30.379266666666666,60,1
2024,Europe,Germany,Beijing,2024-02-07,2024-03-30,52,1818,2771,1501,17,122,60.6,94536,30.379266666666666,60,1
2020,China,China,Sao Paulo,2020-09-19,2020-10-13,24,1334,2078,1153,10,42,44.47,32016,30.379266666666666,60,1
2025,Asia,India,Beijing,2025-11-20,2026-01-14,55,1042,1940,663,18,144,34.73,57310,30.379266666666666,60,1
2025,China,China,Tokyo,2025-05-03,2025-05-16,13,1278,2352,1120,14,141,42.6,16614,30.379266666666666,60,1
2024,Asia,Japan,Sao Paulo,2024-12-17,2025-01-28,42,1671,2344,1363,20,83,55.7,70182,30.379266666666666,60,1
2023,South America,Brazil,Beijing,2023-12-04,2023-12-17,13,868,1323,557,16,78,28.93,11284,30.379266666666666,60,1
2021,Asia,Japan,Tokyo,2021-12-16,2022-01-09,24,1362,1774,1041,5,41,45.4,32688,30.379266666666666,60,1
2026,China,China,Beijing,2026-08-11,2026-08-18,7,1896,2650,1707,19,49,63.2,13272,30.379266666666666,60,1
2022,South America,Brazil,New York,2022-10-25,2022-12-22,58,1101,2275,906,13,66,36.7,63858,30.379266666666666,60,1
2020,South America,Brazil,Delhi,2020-09-13,2020-10-10,27,1024,1975,745,16,50,34.13,27648,30.379266666666666,60,1
2020,Europe,Germany,Rome,2020-08-25,2020-08-26,1,805,1967,615,23,82,26.83,805,30.379266666666666,60,1
2024,Asia,India,Sao Paulo,2024-10-02,2024-11-18,47,1275,1670,963,3,69,42.5,59925,30.379266666666666,60,1
2025,South America,Brazil,Berlin,2025-11-22,2025-11-29,7,1571,2653,1202,7,114,52.37,10997,30.379266666666666,60,1
2021,Asia,India,Paris,2021-06-20,2021-07-11,21,1139,2114,863,19,78,37.97,23919,30.379266666666666,60,1
2025,China,China,Beijing,2025-01-21,2025-02-09,19,924,1405,605,19,131,30.8,17556,30.379266666666666,60,1
2026,China,China,Beijing,2026-03-25,2026-05-24,60,1616,2586,1240,10,48,53.87,96960,30.379266666666666,60,1
2023,South America,Brazil,Sao Paulo,2023-10-25,2023-12-11,47,1526,2204,1233,20,37,50.87,71722,30.379266666666666,60,1
2024,Europe,France,Rome,2024-11-14,2025-01-10,57,1791,2363,1400,17,114,59.7,102087,30.379266666666666,60,1
2026,Europe,Germany,Rome,2026-05-14,2026-05-29,15,1951,2252,1736,9,148,65.03,29265,30.379266666666666,60,1
2024,South America,Argentina,Munich,2024-08-06,2024-08-08,2,1168,1983,786,12,39,38.93,2336,30.379266666666666,60,1
2026,Asia,India,Tokyo,2026-01-03,2026-01-16,13,1075,1609,833,20,26,35.83,13975,30.379266666666666,60,1
2025,South America,Argentina,Rome,2025-09-05,2025-09-14,9,1098,1775,765,20,122,36.6,9882,30.379266666666666,60,1
2022,China,China,Berlin,2022-09-25,2022-10-12,17,1489,2323,1259,22,29,49.63,25313,30.379266666666666,60,1
2026,US,USA,Tokyo,2026-08-05,2026-08-11,6,894,2062,661,27,25,29.8,5364,30.379266666666666,60,1
2021,South America,Brazil,Tokyo,2021-08-02,2021-09-25,54,1419,2008,1104,24,120,47.3,76626,30.379266666666666,60,1
2022,US,USA,Sao Paulo,2022-06-01,2022-07-08,37,1170,1976,774,3,66,39.0,43290,30.379266666666666,60,1
2022,South America,Brazil,Delhi,2022-03-18,2022-03-30,12,1029,1912,834,6,75,34.3,12348,30.379266666666666,60,1
2020,Europe,France,Tokyo,2020-12-13,2021-01-02,20,817,1425,576,28,65,27.23,16340,30.379266666666666,60,1
2025,US,USA,Sao Paulo,2025-10-13,2025-12-11,59,1045,1660,819,30,81,34.83,61655,30.379266666666666,60,1
2024,South America,Brazil,Paris,2024-06-29,2024-07-29,30,1317,1939,1004,30,109,43.9,39510,30.379266666666666,60,1
2023,Asia,India,Tokyo,2023-06-01,2023-06-13,12,1079,1975,763,7,113,35.97,12948,30.379266666666666,60,1
2025,US,USA,Paris,2025-05-14,2025-06-12,29,1408,2351,1151,26,147,46.93,40832,30.379266666666666,60,1
2025,China,China,Munich,2025-10-22,2025-12-10,49,1699,2068,1365,2,20,56.63,83251,30.379266666666666,60,1
2021,South America,Brazil,Munich,2021-01-13,2021-01-14,1,1307,2081,1007,2,128,43.57,1307,30.379266666666666,60,1
2022,South America,Brazil,Berlin,2022-08-02,2022-08-22,20,1356,2255,1047,21,148,45.2,27120,30.379266666666666,60,1
2021,China,China,Berlin,2021-02-14,2021-03-06,20,1687,2337,1423,23,95,56.23,33740,30.379266666666666,60,1
2021,US,USA,Sao Paulo,2021-02-23,2021-04-14,50,1532,2707,1270,17,79,51.07,76600,30.379266666666666,60,1
2021,China,China,Berlin,2021-11-21,2022-01-02,42,814,1685,561,12,57,27.13,34188,30.379266666666666,60,1
2021,South America,Brazil,Paris,2021-07-20,2021-07-31,11,1651,2796,1349,10,67,55.03,18161,30.379266666666666,60,1
2021,Asia,Japan,Sao Paulo,2021-11-23,2022-01-10,48,1598,2227,1430,24,149,53.27,76704,30.379266666666666,60,1
2021,China,China,Paris,2021-04-08,2021-05-06,28,1911,2810,1672,19,22,63.7,53508,30.379266666666666,60,1
2024,Europe,Germany,New York,2024-12-29,2025-01-16,18,1975,2796,1646,5,117,65.83,35550,30.379266666666666,60,1
2021,Asia,India,Berlin,2021-10-21,2021-12-09,49,1994,3101,1822,16,103,66.47,97706,30.379266666666666,60,1
2023,US,USA,Sao Paulo,2023-08-10,2023-08-16,6,1209,1711,1066,6,133,40.3,7254,30.379266666666666,60,1
2025,Asia,India,Paris,2025-07-20,2025-08-16,27,1375,1789,1169,8,104,45.83,37125,30.379266666666666,60,1
2026,Asia,India,Paris,2026-01-29,2026-01-31,2,1343,1734,1082,19,54,44.77,2686,30.379266666666666,60,1
2024,US,USA,Munich,2024-10-16,2024-10-30,14,1477,2048,1096,30,60,49.23,20678,30.379266666666666,60,1
2021,South America,Brazil,Beijing,2021-10-28,2021-11-17,20,1218,1977,846,13,78,40.6,24360,30.379266666666666,60,1
2024,Asia,Japan,Delhi,2024-10-28,2024-11-03,6,1246,2241,1074,23,62,41.53,7476,30.379266666666666,60,1
2021,China,China,Rome,2021-03-22,2021-04-04,13,1018,1719,884,22,64,33.93,13234,30.379266666666666,60,1
2020,China,China,Rome,2020-04-25,2020-05-21,26,1580,2132,1388,14,47,52.67,41080,30.379266666666666,60,1
2023,Europe,Italy,Rome,2023-07-21,2023-08-30,40,1120,2117,799,23,76,37.33,44800,30.379266666666666,60,1
2021,South America,Argentina,Rome,2021-07-10,2021-08-07,28,1775,2581,1391,7,142,59.17,49700,30.379266666666666,60,1
2023,US,USA,Berlin,2023-02-11,2023-04-03,51,1438,2282,1275,20,83,47.93,73338,30.379266666666666,60,1
2025,South America,Argentina,Munich,2025-01-08,2025-02-12,35,1971,2677,1620,21,146,65.7,68985,30.379266666666666,60,1
2022,Europe,Germany,Munich,2022-12-13,2023-02-04,53,1134,1462,946,15,27,37.8,60102,30.379266666666666,60,1
2026,Europe,Germany,Rome,2026-05-09,2026-06-16,38,1217,2287,896,27,37,40.57,46246,30.379266666666666,60,1
2025,China,China,Delhi,2025-09-28,2025-10-30,32,1460,2146,1065,13,72,48.67,46720,30.379266666666666,60,1
2024,US,USA,Munich,2024-10-25,2024-11-06,12,930,1695,611,29,139,31.0,11160,30.379266666666666,60,1
2021,US,USA,Rome,2021-08-12,2021-10-05,54,905,1766,507,29,77,30.17,48870,30.379266666666666,60,1
2024,Europe,Germany,Munich,2024-11-07,2024-12-25,48,1032,2226,788,14,23,34.4,49536,30.379266666666666,60,1
2020,Europe,France,Beijing,2020-10-03,2020-11-09,37,1645,2755,1449,8,100,54.83,60865,30.379266666666666,60,1
2020,South America,Brazil,Rome,2020-03-17,2020-05-15,59,1255,1800,913,1,121,41.83,74045,30.379266666666666,60,1
2025,US,USA,New York,2025-10-29,2025-12-14,46,1844,2233,1628,26,36,61.47,84824,30.379266666666666,60,1
2020,China,China,Delhi,2020-03-07,2020-03-19,12,1318,1795,1200,6,112,43.93,15816,30.379266666666666,60,1
2026,US,USA,Rome,2026-08-12,2026-08-15,3,1087,2254,728,12,65,36.23,3261,30.379266666666666,60,1
2023,South America,Argentina,Sao Paulo,2023-09-20,2023-10-28,38,1776,2693,1482,17,110,59.2,67488,30.379266666666666,60,1
2025,South America,Brazil,Munich,2025-01-17,2025-02-03,17,1603,1955,1422,21,98,53.43,27251,30.379266666666666,60,1
2025,China,China,Berlin,2025-04-12,2025-04-23,11,972,1397,730,4,110,32.4,10692,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-03-23,2022-04-05,13,1866,2561,1676,20,22,62.2,24258,30.379266666666666,60,1
2022,US,USA,Beijing,2022-05-27,2022-06-24,28,1190,2200,957,8,44,39.67,33320,30.379266666666666,60,1
2024,South America,Brazil,Beijing,2024-10-15,2024-11-18,34,1264,1724,869,26,76,42.13,42976,30.379266666666666,60,1
2021,Europe,Italy,Beijing,2021-02-24,2021-04-02,37,1819,2449,1522,10,137,60.63,67303,30.379266666666666,60,1
2023,China,China,Beijing,2023-04-22,2023-06-13,52,952,1777,757,29,86,31.73,49504,30.379266666666666,60,1
2026,China,China,Munich,2026-02-28,2026-04-02,33,1828,2362,1648,6,44,60.93,60324,30.379266666666666,60,1
2022,Europe,France,Delhi,2022-09-06,2022-10-02,26,1224,2032,962,23,78,40.8,31824,30.379266666666666,60,1
2023,Europe,Italy,Munich,2023-01-22,2023-03-11,48,1165,1820,968,28,44,38.83,55920,30.379266666666666,60,1
2026,Europe,France,Berlin,2026-02-24,2026-04-20,55,1837,2882,1549,10,59,61.23,101035,30.379266666666666,60,1
2022,China,China,Paris,2022-03-30,2022-04-15,16,968,2140,859,8,52,32.27,15488,30.379266666666666,60,1
2020,Asia,India,Beijing,2020-05-10,2020-06-24,45,1890,2214,1519,17,52,63.0,85050,30.379266666666666,60,1
2023,Europe,Germany,Sao Paulo,2023-05-18,2023-05-27,9,1316,1661,1144,16,85,43.87,11844,30.379266666666666,60,1
2025,China,China,Delhi,2025-03-03,2025-04-11,39,1137,1874,811,17,102,37.9,44343,30.379266666666666,60,1
2021,Europe,Italy,Sao Paulo,2021-09-17,2021-10-09,22,1908,2772,1741,4,104,63.6,41976,30.379266666666666,60,1
2022,China,China,Sao Paulo,2022-06-25,2022-07-10,15,1191,1689,988,26,41,39.7,17865,30.379266666666666,60,1
2024,China,China,Paris,2024-04-01,2024-05-06,35,1445,2565,1310,27,51,48.17,50575,30.379266666666666,60,1
2026,China,China,Berlin,2026-03-07,2026-03-15,8,1166,1473,950,10,124,38.87,9328,30.379266666666666,60,1
2025,Asia,Japan,Beijing,2025-10-24,2025-11-21,28,1571,2715,1423,17,122,52.37,43988,30.379266666666666,60,1
2023,Europe,Italy,Berlin,2023-11-14,2023-12-16,32,1654,2628,1462,16,62,55.13,52928,30.379266666666666,60,1
2026,South America,Argentina,Berlin,2026-06-24,2026-06-30,6,1866,2364,1731,14,119,62.2,11196,30.379266666666666,60,1
2023,Asia,India,Sao Paulo,2023-11-05,2023-12-25,50,1741,2312,1459,21,59,58.03,87050,30.379266666666666,60,1
2023,China,China,Tokyo,2023-08-18,2023-09-12,25,1597,2011,1335,5,74,53.23,39925,30.379266666666666,60,1
2020,Europe,France,Paris,2020-10-20,2020-12-09,50,911,1974,513,5,89,30.37,45550,30.379266666666666,60,1
2022,US,USA,Tokyo,2022-12-13,2023-01-17,35,810,1288,670,19,131,27.0,28350,30.379266666666666,60,1
2026,Asia,Japan,Beijing,2026-09-25,2026-10-11,16,901,1530,522,14,68,30.03,14416,30.379266666666666,60,1
2024,US,USA,New York,2024-01-20,2024-02-22,33,1489,2571,1300,14,131,49.63,49137,30.379266666666666,60,1
2021,US,USA,Paris,2021-09-10,2021-10-19,39,1616,2613,1288,24,133,53.87,63024,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-01-21,2024-02-07,17,1728,2648,1442,11,93,57.6,29376,30.379266666666666,60,1
2022,South America,Argentina,Munich,2022-02-02,2022-03-11,37,912,1621,720,8,30,30.4,33744,30.379266666666666,60,1
2022,Asia,India,Rome,2022-01-20,2022-02-23,34,844,1334,657,12,133,28.13,28696,30.379266666666666,60,1
2021,Asia,India,Tokyo,2021-05-15,2021-06-19,35,1446,1904,1131,14,44,48.2,50610,30.379266666666666,60,1
2023,Europe,France,Rome,2023-11-20,2024-01-13,54,949,1327,739,26,135,31.63,51246,30.379266666666666,60,1
2026,Europe,Germany,Delhi,2026-04-05,2026-05-05,30,1321,2463,974,7,75,44.03,39630,30.379266666666666,60,1
2023,US,USA,Tokyo,2023-08-15,2023-10-09,55,1873,2835,1511,16,33,62.43,103015,30.379266666666666,60,1
2021,China,China,New York,2021-01-17,2021-02-09,23,981,1344,762,11,83,32.7,22563,30.379266666666666,60,1
2023,US,USA,Sao Paulo,2023-03-09,2023-03-14,5,875,1916,702,2,139,29.17,4375,30.379266666666666,60,1
